,RouteId,BeginPoint,EndPoint,ThicknessRigidVn,SampleId,SurfaceTypeVn
0,30200520000EB,44.2,44.3,,300520004329,3
1,30200520000EB,44.0,44.1,,300520004329,3
2,30200520000EB,44.1,44.2,,300520004329,3
3,30200520000EB,44.5,44.6,,300520004329,3
4,30200520000EB,44.3,44.4,,300520004329,3
5,30200520000EB,44.4,44.5,,300520004329,3
6,30200520000EB,43.3,43.4,,300520004329,3
7,30200520000EB,43.4,43.5,,300520004329,3
8,30200520000EB,43.5,43.6,,300520004329,3
9,30200520000EB,43.6,43.7,,300520004329,3
10,30200520000EB,43.9,44.0,,300520004329,3
11,30200520000EB,43.8,43.9,,300520004329,3
12,30200520000EB,43.29,43.3,,300520004329,3
13,2330010000000,12.8,12.9,,230100001279,3
14,2330010000000,12.79,12.8,,230100001279,3
16,2330073000000,2.1,2.15,,230730000031,3
20,2330073000000,1.4,1.451,,230730000031,3
21,2330073000000,1.451,1.5,,230730000031,3
25,2330010000000,10.7,10.76,,230001001058,3
26,2330010000000,10.6,10.7,,230001001058,3
27,2330010000000,10.58,10.6,,230001001058,3
28,50200600000EB,0.0,0.1,,500600000000,3
29,50100640000EB,0.0,0.0925,,500640000000,3
30,50100640000EB,2.0,2.0729,,500640000166,3
31,50100640000EB,2.2429,2.3,,500640000217,3
32,50100640000EB,2.1,2.17,,500640000166,3
33,50100640000EB,2.7147,2.75,,500640000217,3
34,50100640000EB,2.17,2.2,,500640000217,3
35,50200600000EB,0.1,0.16,,500600000000,3
36,50200600000EB,0.16,0.2,,500600000000,3
37,50200600000EB,0.2,0.24,,500600000000,3
38,50100640000EB,2.755,2.8,,500640000275,3
39,50100640000EB,2.0729,2.0884,,500640000166,3
40,50100640000EB,2.2,2.23,,500640000217,3
41,50100640000EB,2.7,2.7147,,500640000217,3
42,50100640000EB,2.23,2.2429,,500640000217,3
43,50100640000EB,0.0925,0.1,,500640000000,3
44,50100640000EB,2.0884,2.1,,500640000166,3
45,50100640000EB,2.75,2.755,,500640000275,3
46,06100640000EB,7.2,7.2464,,060640000674,3
47,50100640000EB,4.4,4.4442,,500640000422,3
48,06100640000EB,6.0213,6.0625,,060640000587,3
49,06100640000EB,6.0625,6.1,,060640000587,3
50,50100640000EB,4.4442,4.5,,500640000422,3
51,06100640000EB,6.0,6.0213,,060640000587,3
52,06100640000EB,7.26,7.289,,060640000726,3
53,50100640000EB,5.3245,5.376,,500640000529,3
54,50100640000EB,5.3,5.3245,,500640000529,3
55,50100640000EB,5.376,5.4,,500640000529,3
56,06100640000EB,7.2464,7.26,,060640000674,3
57,06100640000EB,7.289,7.3,,060640000726,3
58,06200520000EB,1.0,1.01,,060520000075,3
59,06200520000EB,0.01,0.1,,060520000001,3
60,06200520000EB,0.1,0.2,,060520000001,3
61,06200520000EB,0.2,0.3,,060520000001,3
62,0630002000000,0.1,0.191,,060020000010,3
63,0630002001300,0.1,0.164,,06002T000000,3
64,0630002001300,0.17,0.19,,06002T000017,3
65,0630002001300,0.19,0.1995,,06002T000017,3
66,0630002000000,0.191,0.2,,060020000010,3
67,0630002001300,0.164,0.17,,06002T000000,3
68,0630002001300,0.1995,0.2,,06002T000017,3
69,06100640000EB,17.5,17.6,,060640001457,3
70,06100640000EB,19.324,19.4,,060640001932,3
71,06100640000EB,17.64,17.68,,060640001457,3
72,06100640000EB,17.6,17.6393,,060640001457,3
73,06100640000EB,18.0,18.041,,060640001768,3
74,06100640000EB,19.3,19.32,,060640001849,3
75,06100640000EB,17.68,17.7,,060640001768,3
76,06100640000EB,18.041,18.0748,,060640001768,3
77,06100640000EB,18.0852,18.099,,060640001808,3
78,06100640000EB,18.0748,18.08,,060640001768,3
79,06100640000EB,18.08,18.0852,,060640001808,3
80,06100640000EB,19.32,19.324,,060640001932,3
81,06100640000EB,18.099,18.1,,060640001808,3
82,06100640000EB,17.6393,17.64,,060640001457,3
83,22201190000NB,3.37,3.4,,221190000337,3
84,20100770016NB,90.7425,90.8,,200770008950,3
85,20100770016NB,90.7,90.7425,,200770008950,3
86,20100770016NB,93.661,93.7,,200770009331,3
87,20100770016NB,94.5281,94.5629,,200770009443,3
88,20100770016NB,93.6,93.613,,200770009331,3
89,20100770016NB,93.613,93.6451,,200770009331,3
90,20100770016NB,94.519,94.5281,,200770009443,3
91,20100770016NB,94.5,94.5148,,200770009443,3
92,20100770016NB,93.6451,93.661,,200770009331,3
93,20100770016NB,94.5148,94.519,,200770009443,3
94,06100640000EB,22.4,22.462,,060640002239,3
95,06100640000EB,22.462,22.5,,060640002239,3
96,06100640000EB,20.2,20.259,,060640002019,3
97,06100640000EB,20.259,20.3,,060640002019,3
98,06100640000EB,25.208,25.294,,060640002239,3
99,06100640000EB,25.2,25.208,,060640002239,3
100,06100640000EB,25.294,25.3,,060640002239,3
101,40200350000NB,2.3,2.4,,400350000210,3
102,40200350000NB,2.4,2.5,,400350000210,3
103,40200350000NB,2.513,2.532,,400350000210,3
104,40200350000NB,2.5,2.5122,,400350000210,3
105,40200350000NB,2.5122,2.513,,400350000210,3
106,0630002000000,16.4,16.496,,060020001438,3
107,0630002000000,16.496,16.5,,060020001438,3
108,40100640000EB,44.0,44.1,,400640004377,3
109,40100640000EB,43.9,44.0,,400640004377,3
110,40100640000EB,43.8266,43.86,,400640004377,3
111,40100640000EB,43.86,43.9,,400640004377,3
112,40100640000EB,41.511,41.5358,,400640040568,3
113,40100640000EB,41.565,41.591,,400064041546,3
114,2030817000000,1.214,1.276,,200350000097,3
115,40100640000EB,43.8,43.8266,,400640004377,3
116,40100640000EB,41.546,41.565,,400064041546,3
117,2030817000000,1.276,1.3,,200350000097,3
118,40100640000EB,41.5358,41.546,,400640040568,3
119,40100640000EB,41.5,41.511,,400640040568,3
120,2030817000000,1.2,1.214,,200350000097,3
121,40100640000EB,41.591,41.6,,400064041546,3
122,20100640000EB,45.452,45.5,,200640004539,3
123,20100640000EB,45.4,45.437,,200640004539,3
124,20100640000EB,45.437,45.452,,200640004539,3
125,20201190000NB,15.0,15.1,,201190014220,3
126,20201190000NB,15.8,15.9,,201190014220,3
127,20100640000EB,53.3,53.4,,200640005273,3
128,20201190000NB,14.22,14.2871,,201190014220,3
129,20201190000NB,14.6,14.6647,,201190014220,3
130,20201190000NB,15.4,15.4748,,201190014220,3
131,20100640000EB,53.1,53.183,,200640005273,3
132,20100640000EB,53.224,53.3,,200640005273,3
133,20201190000NB,14.4192,14.5,,201190014220,3
134,20201190000NB,14.5,14.6,,201190014220,3
135,20201190000NB,15.1,15.2,,201190014220,3
136,20201190000NB,15.2306,15.3,,201190014220,3
137,20201190000NB,15.3,15.4,,201190014220,3
138,20201190000NB,15.5143,15.6,,201190014220,3
139,20201190000NB,16.1,16.2,,201190014220,3
140,20201190000NB,16.2,16.28,,201190014220,3
141,20201190000NB,14.3,14.4,,201190014220,3
142,20201190000NB,14.7,14.8,,201190014220,3
143,20201190000NB,14.8,14.9,,201190014220,3
144,20201190000NB,14.9,14.99,,201190014220,3
145,20201190000NB,15.6,15.7,,201190014220,3
146,20201190000NB,15.7,15.7773,,201190014220,3
147,20201190000NB,15.9,16.0,,201190014220,3
148,20100640000EB,53.4,53.5,,200640005273,3
149,20100640000EB,54.309,54.37,,200640005375,3
150,20100640000EB,53.5175,53.598,,200640005273,3
151,20100640000EB,53.6,53.6434,,200640005273,3
152,20100640000EB,53.6531,53.7,,200640005273,3
153,20201190000NB,15.4748,15.5,,201190014220,3
154,20201190000NB,16.0313,16.1,,201190014220,3
155,20201190000NB,16.0,16.0313,,201190014220,3
156,20100640000EB,54.37,54.4,,200640005437,3
157,20201190000NB,14.6647,14.7,,201190014220,3
158,20201190000NB,15.7773,15.8,,201190014220,3
159,20201190000NB,16.28,16.3,,201190001628,3
160,20201190000NB,14.4,14.4192,,201190014220,3
161,20201190000NB,15.2,15.2306,,201190014220,3
162,20100640000EB,53.5,53.5175,,200640005273,3
163,20100640000EB,53.183,53.2,,200640005273,3
164,20100640000EB,53.2,53.224,,200640005273,3
165,20201190000NB,14.0,14.022,,201190001290,3
166,20201190000NB,14.022,14.04,,201190001290,3
167,20100640000EB,53.6434,53.6531,,200640005273,3
168,20201190000NB,14.99,15.0,,201190014220,3
169,20201190000NB,15.5,15.5143,,201190014220,3
170,20201190000NB,14.2871,14.3,,201190014220,3
171,20100640000EB,54.3,54.309,,200640005375,3
172,20100640000EB,53.598,53.6,,200640005273,3
173,20201190000NB,16.28,16.28,,201190001628,3
174,20100770005SB,0.3,0.39,,20077S000000,3
175,20100770005SB,0.2,0.282,,20077S000000,3
176,2040060630000,0.2,0.3,,200606300006,3
177,20100770000NB,98.1,98.1289,,200770009722,3
178,2040060630000,0.1488,0.2,,200606300006,3
179,20100790000NB,0.81,0.848,,200790000081,3
180,20100790000NB,0.848,0.9,,200790000081,3
181,2040060630000,0.334,0.354,,200606300006,3
182,20100770005SB,0.282,0.3,,20077S000000,3
183,2040060630000,0.1,0.1192,,200606300006,3
184,2040060630000,0.3,0.3333,,200606300006,3
185,20100770000NB,98.1289,98.159,,200770009722,3
186,2040060630000,0.066,0.1,,200606300006,3
187,2040060630000,0.1369,0.1488,,200606300006,3
188,20100770005SB,0.39,0.4,,20077S000000,3
189,20100790000NB,0.8,0.81,,200790000000,3
190,20100770000NB,98.159,98.17,,200770009722,3
191,2040060630000,0.06,0.066,,200606300006,3
192,2040060630000,0.1301,0.1369,,200606300006,3
193,2040060630000,0.1192,0.128,,200606300006,3
194,2040060630000,0.128,0.1301,,200606300006,3
195,2040060630000,0.3333,0.334,,200606300006,3
196,20100770000NB,112.4,112.4232,,200770011116,3
197,20100770000NB,112.464,112.5,,200770011116,3
198,20100770000NB,112.4232,112.464,,200770011116,3
199,20100770000NB,117.21,117.2526,,200770011666,3
200,20100770000NB,117.26,117.3,,200770011666,3
201,20100770000NB,117.2,117.21,,200770011666,3
202,20100770000NB,117.2526,117.26,,200770011666,3
205,2730002000000,20.6,20.7,,270020002057,3
206,2730002000000,20.72,20.8,,270020002072,3
210,2730002000000,20.8,20.867,,270020002072,3
212,2730002000000,20.57,20.6,,270020002057,3
213,2730002000000,20.7,20.72,,270020002057,3
216,2730002000000,20.867,20.88,,270020002072,3
221,27200350000NB,10.0,10.1,,270350009644,3
222,27200350000NB,9.7,9.8,,270350009644,3
223,27200350000NB,9.8,9.9,,270350009644,3
224,27200350000NB,9.9,10.0,,270350009644,3
225,27200350000NB,10.1,10.2,,270350009644,3
226,27200350000NB,10.26,10.3,,270350009644,3
227,27200350000NB,11.6,11.7,,270350011532,3
228,27200350000NB,9.644,9.7,,270350009644,3
229,27200350000NB,10.3,10.36,,270350009644,3
230,27200350000NB,11.7,11.76,,270350011532,3
231,27200350000NB,11.76,11.8,,270350011532,3
232,27200350000NB,11.8,11.87,,270350011532,3
233,27200350000NB,11.532,11.6,,270350011532,3
235,27200350000NB,10.2,10.246,,270350009644,3
236,27200350000NB,10.36,10.37,,270350009644,3
237,27200350000NB,10.25,10.26,,270350009644,3
238,27200350000NB,10.246,10.25,,270350009644,3
239,1830002000000,3.827,3.88,,180020000276,3
240,1830002000000,2.7,2.719,,180020000000,3
241,1830002000000,2.769,2.8,,180020000276,3
242,1830002000000,3.8,3.827,,180020000276,3
243,1830002000000,2.76,2.769,,180020000276,3
244,1830002000000,2.719,2.72,,180020000000,3
245,18200330000EB,0.19,0.2,,180330000000,3
246,54200500000EB,0.3,0.4,,54200500000,3
247,54200500000EB,0.4,0.5,,54200500000,3
248,54200500000EB,0.5,0.6,,54200500000,3
249,54200500000EB,0.0,0.1,,54200500000,3
250,54200500000EB,0.1,0.2,,54200500000,3
251,54200500000EB,0.2,0.3,,54200500000,3
252,54300680005SB,1.8,1.845,,54068S000169,3
253,54300680005SB,1.8647,1.9,,54068S000169,3
254,54300680005SB,1.845,1.8647,,54068S000169,3
255,54300680005SB,1.9,1.915,,54068S000169,3
256,54200500000EB,0.6,0.61,,54200500000,3
257,54300680005SB,1.915,1.92,,54068S000169,3
258,28200190000NB,5.4519,5.5,,280190000534,3
259,28200190000NB,5.407,5.4519,,280190000534,3
260,28200190000NB,5.4,5.407,,280190000534,3
261,28100770000NB,6.9,6.9557,,280770000512,3
262,28100770000NB,6.97,7.0,,280770000512,3
263,28100770000NB,6.959,6.97,,280770000512,3
264,28100770000NB,6.9557,6.959,,280770000512,3
265,4130016000000,15.54,15.5828,,410160015080,3
266,4130016000000,15.4,15.46,,410160015080,3
267,41100770016NB,43.5,43.5453,,410770004313,3
268,4130016000000,15.5,15.54,,410160015080,3
269,4130016000000,15.6611,15.7,,410160001565,3
270,41100770016NB,41.9463,41.975,,410770004168,3
271,4130016000000,15.4664,15.4936,,410160015080,3
272,4130016000000,15.5828,15.6,,410160015080,3
273,4130016000000,15.7,15.727,,410160001565,3
274,41100770016NB,43.5453,43.568,,410770004313,3
275,41100770016NB,43.568,43.6,,410770004313,3
276,41100770016NB,41.909,41.9271,,410770004168,3
277,41100770016NB,41.975,42.0,,410770004168,3
278,41100770016NB,41.9271,41.9364,,410770004168,3
279,4130016000000,15.65,15.6611,,410160001565,3
280,4130016000000,15.727,15.736,,410160001565,3
281,4130016000000,15.736,15.752,,410160001565,3
282,41100770016NB,41.9364,41.9463,,410770004168,3
283,4130016000000,15.46,15.4664,,410160015080,3
284,4130016000000,15.4936,15.5,,410160015080,3
285,4130016000000,15.6,15.6065,,410160015080,3
286,41100770016NB,41.9,41.909,,410770004168,3
287,4130016000000,15.6065,15.61,,410160015080,3
288,10100770016NB,56.1,56.2,,100770005502,3
289,10100770016NB,56.2,56.3,,100770005502,3
290,10100770016NB,56.3,56.4,,100770005502,3
291,10100770016NB,56.4,56.44,,100770005502,3
292,10100770016NB,56.44,56.5,,100770005502,3
293,41100770016NB,30.0,30.1,,410770002897,3
294,41100770016NB,30.1244,30.2,,410770002897,3
295,41100770016NB,30.1,30.1244,,410770002897,3
296,41100640000EB,119.4,119.5,,410640011892,3
297,41200190023EB,0.6,0.7,,410190000034,3
298,41200190023EB,0.1,0.2,,410190000034,3
299,41200190023EB,1.1,1.2,,410190001100,3
300,41100640007WB,0.1,0.2,,41064W000000,3
301,41100640007WB,0.2,0.3,,41064W000000,3
302,41100770004NB,0.2,0.3,,41077N000000,3
303,41100770004NB,0.3,0.3999,,41077N000000,3
304,41200190023EB,0.5,0.5845,,410190000034,3
305,41100640000EB,119.0,119.1,,410640011892,3
306,41100640000EB,119.1,119.2,,410640011892,3
307,41100640000EB,119.3,119.4,,410640011892,3
308,41100640000EB,119.5,119.6,,410640011892,3
309,41100640000EB,119.6,119.7,,410640011892,3
310,41100640000EB,119.7,119.8,,410640011892,3
311,41100640000EB,119.8156,119.9,,410640011892,3
312,41200190023EB,0.7,0.8,,410190000034,3
313,41200190023EB,0.9,1.0,,410190000034,3
314,41200190023EB,1.0,1.1,,410190000034,3
315,41200190014NB,2.0,2.1,,41019BP00000,3
316,41200190014NB,2.1,2.2,,41019BP00000,3
317,41200190023EB,0.2,0.3,,410190000034,3
318,41200190023EB,0.331,0.4,,410190000034,3
319,41200190023EB,0.4,0.5,,410190000034,3
320,41100770016NB,40.737,40.8,,410770004060,3
321,41100640000EB,119.9,119.952,,410640011892,3
322,41200190023EB,0.0,0.0326,,41019C000000,3
323,41100640000EB,118.92,119.0,,410640011892,3
324,41200190023EB,0.034,0.1,,410190000034,3
325,41100640000EB,119.2,119.3,,410640011892,3
326,41200190023EB,0.8,0.8413,,410190000034,3
327,41200190023EB,0.8581,0.9,,410190000034,3
328,41100770004NB,0.1,0.2,,41077N000000,3
329,41200190014NB,2.2,2.251,,41019BP00000,3
330,41100770016NB,40.7,40.737,,410770004060,3
331,41100640007WB,0.0,0.0437,,41064W000000,3
332,41100640000EB,120.0744,120.1,,410640011892,3
333,41100640007WB,0.0437,0.1,,41064W000000,3
334,41100770004NB,0.4,0.43,,41077N000000,3
335,41100640000EB,119.8,119.8156,,410640011892,3
336,41200190023EB,0.3,0.331,,410190000034,3
337,41100640000EB,119.952,119.976,,410640011892,3
338,41100640000EB,120.0,120.022,,410640011892,3
339,41100640000EB,120.022,120.049,,410640011892,3
340,4130016000000,15.7581,15.774,,410160001565,3
341,4130016000000,15.774,15.8,,410160001565,3
342,41200190023EB,0.8413,0.8524,,410190000034,3
343,41100640000EB,119.976,120.0,,410640011892,3
344,41200190023EB,0.5845,0.6,,410190000034,3
345,4130016000000,15.8,15.81,,410160001565,3
346,41100640000EB,120.066,120.0744,,410640011892,3
347,4130016000000,15.752,15.7581,,410160001565,3
348,41200190023EB,0.8524,0.8581,,410190000034,3
349,41100640000EB,120.049,120.054,,410640011892,3
350,41100640000EB,120.054,120.066,,410640011892,3
351,41200190023EB,0.033,0.034,,41019C000003,3
352,41200190023EB,0.0326,0.033,,41019C000000,3
353,41100770004NB,0.3999,0.4,,41077N000000,3
354,45100640000EB,139.2,139.3,,450640013838,3
355,45100640000EB,139.9,140.0,,450640013838,3
356,45100640000EB,140.2,140.3,,450640013838,3
357,45100640000EB,138.4,138.5,,450640013838,3
358,45100640000EB,138.9,139.0,,450640013838,3
359,45100640000EB,138.01,138.1,,450640013801,3
360,45100640000EB,138.5,138.6,,450640013838,3
361,45100640000EB,138.8,138.9,,450640013838,3
362,45100640000EB,139.3,139.4,,450640013838,3
363,45100640000EB,139.4,139.5,,450640013838,3
364,45100640000EB,139.5,139.6,,450640013838,3
365,45100640000EB,139.6,139.7,,450640013838,3
366,45100640000EB,139.7,139.8,,450640013838,3
367,45100640000EB,139.8,139.9,,450640013838,3
368,45100640000EB,140.0,140.1,,450640013838,3
369,45100640000EB,140.1,140.2,,450640013838,3
370,45100640000EB,139.0,139.1,,450640013838,3
371,45100640000EB,139.1,139.2,,450640013838,3
372,45100640000EB,138.3,138.3425,,450640013801,3
373,45100640000EB,138.7,138.7393,,450640013838,3
374,45100640000EB,138.7393,138.8,,450640013838,3
375,45100640000EB,138.3425,138.373,,450640013801,3
376,45100640000EB,138.6172,138.672,,450640013838,3
377,45100640000EB,138.38,138.4,,450640013838,3
378,45100640000EB,138.672,138.7,,450640013838,3
379,45100640000EB,138.6,138.6172,,450640013838,3
380,45100640000EB,138.373,138.38,,450640013801,3
381,41200190014NB,2.251,2.3,,41019BP00000,3
382,10200190000NB,3.8,3.82,,100190000285,3
383,10200190000NB,3.89,3.9,,100190000389,3
384,10200190000NB,1.001,1.02,,100190000000,3
385,10200190000NB,1.0,1.001,,100190000000,3
386,45100640000EB,140.5,140.6,,450640013838,3
387,45100640000EB,140.3,140.4,,450640013838,3
388,45100640000EB,140.4,140.5,,450640013838,3
389,45100640000EB,140.6,140.7,,450640013838,3
390,45100640000EB,141.0,141.1,,450640013838,3
391,45100640000EB,141.4,141.5,,450640013838,3
392,45100640000EB,141.9,142.0,,450640013838,3
393,45100640000EB,144.5,144.6,,450640014375,3
394,45100640000EB,145.3,145.4,,450640014375,3
395,45100640000EB,145.6,145.7,,450640014375,3
396,45100640000EB,145.9,146.0,,450640014375,3
397,45100640000EB,146.2,146.3,,450640014375,3
398,45100640000EB,142.3,142.4,,450640013838,3
399,45100640000EB,146.6,146.7,,450640014375,3
400,45100640000EB,142.7,142.7438,,450640013838,3
401,45100640000EB,140.7,140.8,,450640013838,3
402,45100640000EB,140.8,140.8477,,450640013838,3
403,45100640000EB,143.0,143.1,,450640013838,3
404,45100640000EB,143.2,143.3,,450640014320,3
405,45100640000EB,143.3,143.4,,450640014320,3
406,45100640000EB,143.4,143.5,,450640014320,3
407,45100640000EB,143.5,143.5799,,450640014320,3
408,45100640000EB,143.6,143.7,,450640014320,3
409,45100640000EB,143.8,143.9,,450640014375,3
