BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date
12/31/2021|54.0|08100790000NB|36.0|39.91|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|03201190000NB|16.97|17.83|LAST_OVERLAY_THICKNESS|10.0||
12/31/2021|54.0|0340005000000|15.1|17.57|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|03201190000NB|12.83|13.54|LAST_OVERLAY_THICKNESS|10.0||
12/31/2021|54.0|03201190000NB|11.49|12.83|LAST_OVERLAY_THICKNESS|4.5||
12/31/2021|54.0|03201190000NB|9.44|11.49|LAST_OVERLAY_THICKNESS|4.5||
12/31/2021|54.0|0330094000000|0.0|3.01|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0330003000000|8.17|11.14|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|0830036000000|2.48|4.2|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|03201190000NB|0.0|2.93|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|08100790000NB|39.91|41.43|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|0830016000000|19.19|20.35|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|45.39|47.44|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|0830004000000|21.98|22.98|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|08100790000NB|41.43|44.6|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|2040073000000|0.0|1.18|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|102.66|103.69|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|20100770000NB|100.78|101.08|LAST_OVERLAY_THICKNESS|8.0||
12/31/2021|54.0|20100790000NB|5.42|5.56|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|114.59|116.05|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100640000EB|47.44|48.4|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|20100790000NB|6.82|7.19|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040160070000|0.27|0.51|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|48.4|49.75|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|20100640000EB|51.56|52.38|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|2730002000000|29.27|35.98|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|5.56|6.12|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|53.75|54.37|LAST_OVERLAY_THICKNESS|7.0||
12/31/2021|54.0|20200600000EB|9.19|10.9|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|106.17|107.6|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100790000NB|20.62|21.28|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100640000EB|55.21|56.33|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|27200350000NB|17.85|17.98|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2730002000000|15.93|18.05|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|54.37|54.8|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|99.12|100.07|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|27200350000NB|18.35|18.74|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100790000NB|7.19|7.476|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20200600007WB|7.93|8.1|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040025250000|0.0|0.15|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|2030622000000|2.72|3.79|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040160070000|0.0|0.27|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|0.0|0.81|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040114010000|0.0|1.07|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|56.33|57.02|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|27200350000NB|16.41|16.6|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20200600000EB|6.2|6.92|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|3.51|4.51|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|103.69|104.81|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20200600000EB|16.07|16.48|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|19.22|20.62|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2730002000000|18.91|19.89|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|0.81|1.95|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040046000000|0.0|0.41|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|57.02|57.48|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|52.73|53.75|LAST_OVERLAY_THICKNESS|7.0||
12/31/2021|54.0|20100770000NB|113.47|114.59|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|27200350000NB|17.98|18.322|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2730062000000|19.72|20.33|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|9.97|10.64|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|27200350000NB|8.53|8.85|LAST_OVERLAY_THICKNESS|11.0||
12/31/2021|54.0|20100770000NB|116.05|116.66|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2730002000000|1.39|3.15|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|100.28|100.78|LAST_OVERLAY_THICKNESS|8.0||
12/31/2021|54.0|2040025260000|0.0|0.31|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|101.65|102.16|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|20100770000NB|100.07|100.28|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|2730062000000|20.55|21.94|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040022000000|0.86|1.19|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20200600000EB|2.44|2.86|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|116.66|117.5|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2040025260000|0.4|0.71|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|27200350000NB|9.644|10.37|LAST_OVERLAY_THICKNESS|11.0||
12/31/2021|54.0|20100790000NB|4.51|5.42|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100640000EB|50.11|51.56|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|2730062000000|20.33|20.53|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|27200350000NB|17.413|17.59|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|2040022000000|1.19|2.47|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|104.81|105.002|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100790000NB|10.64|16.04|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|27200350000NB|11.532|11.87|LAST_OVERLAY_THICKNESS|11.0||
12/31/2021|54.0|20100640000EB|49.75|50.11|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|20100790000NB|1.95|2.24|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|98.28|99.12|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|27200350000NB|16.64|17.28|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|20100640000EB|54.8|55.21|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20200600000EB|23.08|23.52|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2040025250000|0.15|2.17|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|20200600000EB|28.43|29.18|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100790000NB|16.04|19.22|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|20100640000EB|52.38|52.73|LAST_OVERLAY_THICKNESS|3.5||
12/31/2021|54.0|20100790000NB|2.24|3.51|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|20100770000NB|102.16|102.66|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40100640000EB|31.77|32.57|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|4040012000000|4.71|8.19|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|40100640000EB|36.27|38.68|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|40200350000NB|1.64|2.06|LAST_OVERLAY_THICKNESS|12.0||
12/31/2021|54.0|40100640000EB|41.546|41.66|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|4040046000000|0.0|2.29|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40100640000EB|34.45|36.27|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|40100640000EB|41.86|42.78|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40100640000EB|41.66|41.86|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40200350000NB|0.29|0.65|LAST_OVERLAY_THICKNESS|12.0||
12/31/2021|54.0|40100640000EB|44.47|45.39|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40100640000EB|43.77|44.47|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40200350000NB|2.1|2.532|LAST_OVERLAY_THICKNESS|12.0||
12/31/2021|54.0|40100640000EB|40.46|41.546|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40100640000EB|33.45|34.45|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|40100640000EB|32.57|33.45|LAST_OVERLAY_THICKNESS|9.0||
12/31/2021|54.0|40100640000EB|42.79|43.77|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|40200350000NB|1.36|1.6|LAST_OVERLAY_THICKNESS|12.0||
12/31/2021|54.0|4040050000000|13.38|14.06|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|0640001000000|2.1|2.224|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640001000000|2.477|2.619|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630002001300|0.0|0.17|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630002000000|0.1|0.21|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630002001300|0.17|0.39|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630002000000|9.98|10.08|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640009000000|1.688|1.803|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630010000100|1.94|2.56|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630010000000|15.69|15.82|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630010000000|15.82|16.27|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0630010000000|17.46|18.41|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640013000000|0.02|0.42|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640017000000|4.3|4.41|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640017000000|4.47|5.02|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640021000000|0.537|0.9|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640021000000|0.9|1.51|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640021000000|1.51|2.939|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640021000000|2.947|2.98|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640031000000|0.16|0.5|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640031060000|0.0|0.38|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|0640031060000|0.41|0.48|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|0640035000000|7.83|8.63|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640039000000|2.08|2.62|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200520000EB|0.33|0.45|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200520000EB|0.75|1.01|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640052030000|0.0|0.22|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06200600001EB|0.0|0.39|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200600000EB|2.97|3.07|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200600000EB|6.97|7.51|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06200600000EB|7.59|7.96|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06200600000EB|7.96|8.43|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06200600000EB|8.43|8.82|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06200600000EB|8.82|9.5|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200600000EB|9.56|9.92|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200600000EB|9.92|10.27|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06200600000EB|15.59|17.29|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060050000|0.0|0.88|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060050000|0.88|1.68|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060050000|1.68|1.97|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060700000|0.0|0.18|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060700000|0.18|0.56|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0640060700000|0.56|0.76|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|5.87|6.47|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|6.47|6.74|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|6.74|7.26|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|7.26|7.72|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|7.72|8.19|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|06100640000EB|8.19|9.22|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06100640000EB|9.22|9.52|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06100640000EB|11.02|11.37|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|11.37|14.53|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|17.68|18.08|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|06100640000EB|18.08|18.49|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|18.49|19.32|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|06100640000EB|19.32|19.71|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|06100640000EB|19.71|20.19|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|20.19|21.04|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|21.04|21.16|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|21.16|21.75|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|21.75|22.39|LAST_OVERLAY_THICKNESS|4.0||
12/31/2021|54.0|06100640000EB|22.39|27.11|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06100640000EB|27.11|27.55|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|06100640000EB|27.55|28.67|LAST_OVERLAY_THICKNESS|9.5||
12/31/2021|54.0|06100640000EB|28.67|29.44|LAST_OVERLAY_THICKNESS|9.5||
12/31/2021|54.0|06100640000EB|29.44|31.77|LAST_OVERLAY_THICKNESS|9.5||
12/31/2021|54.0|0630152000000|0.76|0.99|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|0673272001900|0.35|1.04|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673272001900|1.08|1.44|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673274001900|1.46|1.56|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673281001900|0.19|0.48|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673285001900|0.0|0.32|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673287001900|0.0|0.28|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673287001900|0.51|0.86|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673287001900|1.03|1.14|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673289001900|1.72|2.02|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673295001900|0.0|1.08|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|0673317001900|0.0|0.24|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2230003000000|5.71|6.1|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2230010000000|17.81|19.07|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2340005000000|0.45|2.789|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|12.79|12.95|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|14.782|15.25|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|15.25|16.17|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|16.77|17.46|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|17.46|17.76|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|17.76|18.21|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|18.76|19.41|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|19.41|20.39|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|20.39|22.05|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330010000000|27.14|28.6|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|2330017000000|0.32|1.1|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|2330044000000|16.02|17.07|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|2330073000000|0.31|2.15|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|2330080000000|0.86|1.57|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|23201190000NB|0.0|0.85|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|1.44|2.2|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.2|2.54|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.54|2.67|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|2.67|3.59|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|23201190000NB|3.59|5.27|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|23201190000NB|11.87|12.283|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|30200520004NB|0.096|0.39|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30200520000EB|9.95|11.65|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30200520000EB|26.08|26.53|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|3030080000000|7.05|9.46|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|30201190000NB|11.73|12.8|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|30201190000NB|12.88|14.28|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040001000000|2.16|2.29|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003000000|3.75|3.85|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003000000|3.94|4.06|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040003010000|0.09|0.65|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003010000|0.65|0.68|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003020000|0.0|0.64|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040003020000|0.64|1.25|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040007000000|17.84|18.87|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040007000000|19.35|19.76|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|5040008000000|0.0|0.45|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040009000000|0.65|1.92|LAST_OVERLAY_THICKNESS|2.0||
12/31/2021|54.0|5040012000000|3.176|4.65|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|50200520000EB|5.8|6.51|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200520000EB|29.12|31.4|LAST_OVERLAY_THICKNESS|3.0||
12/31/2021|54.0|50200600000EB|0.0|0.24|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|0.49|0.72|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|1.13|1.83|LAST_OVERLAY_THICKNESS|1.0||
12/31/2021|54.0|50200600000EB|3.79|4.04|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|50200600000EB|4.04|4.39|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060030000|1.37|1.47|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060040000|1.24|2.4|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060070000|0.24|0.87|LAST_OVERLAY_THICKNESS|1.5||
12/31/2021|54.0|5040060070000|0.87|1.44|LAST_OVERLAY_THICKNESS|1.5||
